sweep,repeat_index,model_id,task_id,signature,testable,untestable_reason,score,passed,p_value,effect_size,direction_correct
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,serial_recall_v2,above_chance_recall,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,serial_recall_v2,similarity_aids_recall,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,serial_recall_v2,high_vs_low_sim_advantage,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,serial_recall_v2,similarity_rt_effect,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,serial_recall_v2,primacy_effect,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,random_dot_motion_v2,coherence_accuracy_psychometric,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,random_dot_motion_v2,coherence_rt_chronometric,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,random_dot_motion_v2,above_chance_low_coherence,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,random_dot_motion_v2,above_chance_overall,True,,0.5,False,0.5,0.0714285714285714,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,visual_recognition,above_chance_discrimination,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,visual_recognition,above_chance_accuracy,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,visual_recognition,low_false_alarm_rate,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,marbles_risk,ev_sensitivity,True,,1.0,True,1.116319806096666e-05,0.951771934961173,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,marbles_risk,above_chance_ev_optimal,True,,1.0,True,0.001953125,0.5,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,marbles_risk,magnitude_effect_high_payoff,True,,1.0,True,0.04180427993001581,0.5726371269248889,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,marbles_risk,ev_difference_rt_effect,True,,0.0,False,0.9342490034670271,0.5106406566912542,False
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,repeated_games,tit_for_tat_reciprocity_pd,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,repeated_games,above_chance_coordination_bos,True,,0.0,False,0.696380615234375,-0.033333333333333326,False
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,repeated_games,cooperation_when_opp_cooperated,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,repeated_games,round_rt_speedup,True,,1.0,True,0.0029254485477588623,-0.4911427472300513,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,tiny_alchemy,above_chance_discovery,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,tiny_alchemy,non_redundant_attempts,False,insufficient_data,,False,,,
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,grid_bandit,kraken_avoidance_in_risky,True,,0.5,False,0.10024421103298667,-0.13333333333333336,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,grid_bandit,value_directed_exploitation,True,,1.0,True,0.00024433785004274666,-0.4796069941314336,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,grid_bandit,above_chance_reward,True,,1.0,True,0.00031052172811385503,0.24545454545454548,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,grid_bandit,within_block_learning,True,,0.5,False,0.07408790813138752,0.19758952255097878,True
rebuttal_v1_launch_20260724_211936,0,kimi-k2.5,grid_bandit,within_block_rt_speedup,True,,0.0,False,0.9468447626443863,0.22014231661551123,False
rebuttal_v1_launch_20260724_211936,0,gemini-3-flash-preview,grid_bandit,kraken_avoidance_in_risky,True,,1.0,True,3.9391920836351346e-08,-0.38,True
rebuttal_v1_launch_20260724_211936,0,gemini-3-flash-preview,grid_bandit,value_directed_exploitation,True,,1.0,True,1.2886307543627668e-05,-0.40941953962554156,True
rebuttal_v1_launch_20260724_211936,0,gemini-3-flash-preview,grid_bandit,above_chance_reward,True,,1.0,True,1.1930665838377763e-05,0.30000000000000004,True
rebuttal_v1_launch_20260724_211936,0,gemini-3-flash-preview,grid_bandit,within_block_learning,True,,1.0,True,6.62247894020395e-05,0.35642820403772657,True
rebuttal_v1_launch_20260724_211936,0,gemini-3-flash-preview,grid_bandit,within_block_rt_speedup,True,,0.0,False,0.9999561851019259,0.36516775463573686,False
rebuttal_v1_launch_20260724_211936,0,gemini-3-flash-preview,random_dot_motion_v2,coherence_accuracy_psychometric,True,,1.0,True,0.006886125149381139,0.24561729408707758,True
rebuttal_v1_launch_20260724_211936,0,gemini-3-flash-preview,random_dot_motion_v2,coherence_rt_chronometric,True,,0.0,False,0.9233801137879123,0.17127873673621832,False
